,x,y,token
0,-27.428385,22.011084,one
1,-33.248753,14.418492,reviewers
2,-24.850574,18.82763,mentioned
3,-33.78183,4.4467616,watching
4,-33.342545,-9.054507,episode
5,-31.750078,-0.34643176,hooked
6,-30.311687,16.453392,right
7,-30.252844,16.687586,exactly
8,-28.579636,15.490075,happened
9,-38.109806,-0.86389375,first
10,-31.775257,17.140272,thing
11,-20.179054,16.870466,struck
12,1.2210315,21.707672,brutality
13,2.2528143,20.679188,unflinching
14,-11.104811,37.14205,scenes
15,3.4252782,32.45563,violence
16,-7.568628,40.204113,set
17,-32.861378,14.137628,word
18,-30.583158,11.887594,trust
19,-33.59053,2.0460813,show
20,-7.8656287,21.680412,faint
21,-8.065918,32.481987,hearted
22,14.509565,17.478153,timid
23,-11.13398,26.37742,pulls
24,-14.293571,-23.253242,punches
25,-20.16935,20.358358,regards
26,-21.86631,-24.002716,drugs
27,3.583649,32.56912,sex
28,-19.145626,22.812222,hardcore
29,-18.738205,25.814978,classic
30,-1.0547023,42.68813,use
31,-21.943163,24.98107,called
32,7.1902394,-12.325419,nickname
33,-26.504377,15.155697,given
34,5.033337,-25.446316,oswald
35,-21.352758,7.7686563,maximum
36,-4.4756603,-27.769253,security
37,-8.266943,-7.5657535,state
38,1.9708713,-21.432442,penitentary
39,-0.65431917,34.320988,focuses
40,-9.714282,35.122448,mainly
41,-0.32543856,-9.721521,emerald
42,-4.961078,-29.446938,city
43,-0.89323103,19.832846,experimental
44,-30.528746,0.59051365,section
45,-14.886127,-25.438297,prison
46,-15.735978,-12.760556,cells
47,-8.584362,-22.167425,glass
48,0.015809515,5.959743,fronts
49,-27.64299,6.970763,face
50,-2.6775393,-16.469599,inwards
51,-12.912881,-4.228561,privacy
52,-3.347881,-35.46546,high
53,-5.902233,17.10741,agenda
54,-29.383854,-9.752252,home
55,-17.39328,34.210106,many
56,-3.8152633,-13.034915,aryans
57,-7.2695622,-8.249096,muslims
58,-11.476473,-22.166826,gangstas
59,1.0678375,11.60039,latinos
60,-24.863588,11.181504,christians
61,-18.276495,20.450745,italians
62,10.158598,6.8263226,irish
63,3.6021209,-22.993074,scuffles
64,-12.703505,26.542208,death
65,-13.487364,-18.267126,stares
66,1.3336184,26.486004,dodgy
67,0.7176192,-15.973942,dealings
68,22.169418,21.751503,shady
69,0.7446785,-22.489685,agreements
70,-34.371964,0.10739528,never
71,-28.275265,20.63494,far
72,-24.725359,-16.998243,away
73,-31.93155,12.894746,would
74,-29.330732,16.149055,say
75,22.426916,27.674248,main
76,-26.736109,17.06966,appeal
77,-12.735051,27.567673,due
78,-26.154375,17.301289,fact
79,-36.78383,7.9367456,goes
80,-26.284163,19.118164,shows
81,-32.718647,12.066598,dare
82,-27.821175,14.808746,forget
83,-12.512314,34.646843,pretty
84,-31.44746,1.0861201,pictures
85,13.415553,22.508923,painted
86,-21.649124,24.010887,mainstream
87,-33.44811,14.911934,audiences
88,-7.991659,30.464449,charm
89,-8.877042,31.861475,romance
90,-11.6759405,32.84602,mess
91,-14.13357,-24.67575,around
92,-34.542797,-0.0918056,ever
93,-34.294853,5.3174896,saw
94,-8.28278,35.876545,nasty
95,-7.485706,32.74191,surreal
96,-31.149527,10.727843,ready
97,-34.291492,5.396859,watched
98,-13.731138,37.87407,developed
99,-31.774849,18.436716,taste
100,-36.30028,7.245949,got
101,-20.028755,7.699952,accustomed
102,-14.343597,24.127144,levels
103,3.4698632,32.47896,graphic
104,-5.758824,16.746841,injustice
105,2.7105372,-25.030949,crooked
106,-11.640146,-23.52715,guards
107,-27.060387,-6.1809835,sold
108,-25.142706,-12.337715,nickel
109,-1.2369653,-20.310991,inmates
110,-27.937777,9.570891,kill
111,-30.436468,10.880772,order
112,-36.30449,7.3131666,get
113,-14.26837,34.322514,well
114,5.2563477,26.63604,mannered
115,-3.471658,-34.95299,middle
116,34.892548,21.76265,class
117,-35.663624,6.154914,turned
